latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-17.55865,30.4987,322.1,1.83,1.32,2024-07-04,1200,Aqua,MODIS,49,6.1NRT,303.16,26.41,D
-17.56328,30.49233,357.15,1.83,1.32,2024-07-04,1200,Aqua,MODIS,98,6.1NRT,305.1,166.55,D
-17.56536,30.47545,350.45,1.83,1.33,2024-07-04,1200,Aqua,MODIS,95,6.1NRT,305.46,128.17,D
-17.53975,30.4891,335.78,1.83,1.32,2024-07-04,1200,Aqua,MODIS,86,6.1NRT,303.11,68.18,D
-17.52798,30.48748,342.99,1.83,1.32,2024-07-04,1200,Aqua,MODIS,91,6.1NRT,301.42,97.71,D
-17.53001,30.47062,322.21,1.83,1.33,2024-07-04,1200,Aqua,MODIS,48,6.1NRT,300.69,27.66,D
-17.53473,30.33076,317.95,1.88,1.34,2024-07-04,1200,Aqua,MODIS,55,6.1NRT,302.95,20.63,D
-17.45537,30.6984,313.66,1.76,1.3,2024-07-04,1200,Aqua,MODIS,38,6.1NRT,301.76,10.53,D
-17.45734,30.68176,314.35,1.77,1.3,2024-07-04,1200,Aqua,MODIS,44,6.1NRT,304.23,11.96,D
-17.49084,30.39585,318.1,1.86,1.33,2024-07-04,1200,Aqua,MODIS,64,6.1NRT,304.55,21.26,D
-17.479,30.39416,361.2,1.86,1.33,2024-07-04,1200,Aqua,MODIS,100,6.1NRT,306.13,201.54,D
-17.48099,30.37688,337.59,1.86,1.33,2024-07-04,1200,Aqua,MODIS,87,6.1NRT,307.46,78.02,D
-17.48508,30.39006,360.58,1.86,1.33,2024-07-04,1200,Aqua,MODIS,100,6.1NRT,307.5,197.09,D
-17.26618,31.42547,316.92,1.55,1.23,2024-07-04,1200,Aqua,MODIS,34,6.1NRT,305.47,10.78,D
-17.25527,31.42392,323.65,1.55,1.23,2024-07-04,1200,Aqua,MODIS,73,6.1NRT,305.36,24.7,D
-17.26391,31.41825,325.71,1.55,1.23,2024-07-04,1200,Aqua,MODIS,76,6.1NRT,304.83,28.95,D
-17.27115,30.71225,316.99,1.75,1.3,2024-07-04,1200,Aqua,MODIS,45,6.1NRT,303.56,17.13,D
-17.27305,30.6962,322.19,1.75,1.3,2024-07-04,1200,Aqua,MODIS,71,6.1NRT,303.32,28.79,D
-17.09154,31.44843,322.92,1.54,1.22,2024-07-04,1200,Aqua,MODIS,72,6.1NRT,305.1,23.18,D
-17.09328,31.43423,330.19,1.54,1.22,2024-07-04,1200,Aqua,MODIS,81,6.1NRT,306.05,39.33,D
-17.13041,31.12897,318.55,1.62,1.25,2024-07-04,1200,Aqua,MODIS,64,6.1NRT,304.53,17.29,D
-17.15165,30.7577,316.25,1.73,1.29,2024-07-04,1200,Aqua,MODIS,49,6.1NRT,303.36,14.44,D
-17.07785,31.26544,356.94,1.58,1.24,2024-07-04,1200,Aqua,MODIS,98,6.1NRT,306.3,138.55,D
-17.07971,31.25073,321.09,1.58,1.24,2024-07-04,1200,Aqua,MODIS,52,6.1NRT,304.84,21.17,D
-17.14228,30.7494,320.01,1.73,1.29,2024-07-04,1200,Aqua,MODIS,68,6.1NRT,303.17,23.62,D
-17.06684,31.26393,326.52,1.58,1.24,2024-07-04,1200,Aqua,MODIS,77,6.1NRT,303.55,33.38,D
-17.06869,31.24916,320.76,1.58,1.24,2024-07-04,1200,Aqua,MODIS,62,6.1NRT,302.18,20.66,D
-16.99067,31.69592,314.78,1.47,1.2,2024-07-04,1200,Aqua,MODIS,48,6.1NRT,302.74,9.21,D
-17.12599,30.49569,323.91,1.8,1.32,2024-07-04,1200,Aqua,MODIS,51,6.1NRT,305.36,29.98,D
-16.47519,29.48509,316.73,2.1,1.41,2024-07-04,1200,Aqua,MODIS,53,6.1NRT,304.85,20.03,D
-16.47752,29.46566,319.95,2.11,1.41,2024-07-04,1200,Aqua,MODIS,66,6.1NRT,303.83,28.42,D
-16.46267,29.48334,316.12,2.1,1.41,2024-07-04,1200,Aqua,MODIS,32,6.1NRT,304.06,18.13,D
-16.24092,29.15304,314.59,2.21,1.44,2024-07-04,1200,Aqua,MODIS,38,6.1NRT,303.93,15.97,D
-16.18955,29.36826,339.27,2.12,1.42,2024-07-04,1200,Aqua,MODIS,88,6.1NRT,304.85,97.93,D
-17.12799,30.47883,328.8,1.81,1.32,2024-07-04,1200,Aqua,MODIS,76,6.1NRT,306.22,43.34,D
-17.11627,30.4774,336,1.81,1.32,2024-07-04,1200,Aqua,MODIS,86,6.1NRT,305.91,66.03,D
-17.10453,30.47601,319.42,1.81,1.32,2024-07-04,1200,Aqua,MODIS,55,6.1NRT,303.25,20.54,D
-17.10738,30.48834,325.72,1.8,1.32,2024-07-04,1200,Aqua,MODIS,77,6.1NRT,303.79,35.68,D
-17.10946,30.47164,323.64,1.81,1.32,2024-07-04,1200,Aqua,MODIS,74,6.1NRT,304.96,30.49,D
-17.03134,30.52835,315.63,1.79,1.31,2024-07-04,1200,Aqua,MODIS,53,6.1NRT,304.16,13.83,D
-17.07991,30.11734,317.79,1.92,1.35,2024-07-04,1200,Aqua,MODIS,64,6.1NRT,304.96,19.9,D
-16.92915,30.99242,318.7,1.65,1.26,2024-07-04,1200,Aqua,MODIS,66,6.1NRT,301.83,21.46,D
-16.93101,30.97753,328.98,1.65,1.26,2024-07-04,1200,Aqua,MODIS,80,6.1NRT,302.04,44.59,D
-16.83521,31.64855,331.84,1.47,1.2,2024-07-04,1200,Aqua,MODIS,83,6.1NRT,304.82,43.01,D
-16.68966,31.17413,315.84,1.58,1.24,2024-07-04,1200,Aqua,MODIS,52,6.1NRT,303.83,13.29,D
-16.69144,31.15975,319.65,1.59,1.24,2024-07-04,1200,Aqua,MODIS,67,6.1NRT,302.59,20.08,D
-16.67865,31.17256,318.43,1.58,1.24,2024-07-04,1200,Aqua,MODIS,51,6.1NRT,304.6,16.99,D
-16.68043,31.15812,343.68,1.59,1.24,2024-07-04,1200,Aqua,MODIS,91,6.1NRT,305.31,83.43,D
-16.6491,31.13877,335.74,1.59,1.24,2024-07-04,1200,Aqua,MODIS,86,6.1NRT,303.81,58.3,D
-16.65092,31.12363,347.94,1.6,1.24,2024-07-04,1200,Aqua,MODIS,94,6.1NRT,304.8,100.6,D
-16.64873,31.13323,349.87,1.59,1.24,2024-07-04,1200,Aqua,MODIS,95,6.1NRT,304.51,107.86,D
-16.47828,29.47087,320.34,2.11,1.41,2024-07-04,1200,Aqua,MODIS,43,6.1NRT,303.92,26.95,D
-16.65065,31.1182,328.84,1.6,1.24,2024-07-04,1200,Aqua,MODIS,80,6.1NRT,304.45,39.52,D
-16.81602,29.01192,314.38,2.31,1.47,2024-07-04,1200,Aqua,MODIS,29,6.1NRT,303.61,13.71,D
-16.64687,29.35824,317.23,2.16,1.43,2024-07-04,1200,Aqua,MODIS,39,6.1NRT,304.9,20.93,D
-16.63413,29.35696,318.94,2.16,1.43,2024-07-04,1200,Aqua,MODIS,64,6.1NRT,303.39,26.13,D
-16.46566,30.01015,341.11,1.91,1.35,2024-07-04,1200,Aqua,MODIS,89,6.1NRT,303.83,101.23,D
-18.17121,31.68525,318.35,1.53,1.22,2024-07-04,1200,Aqua,MODIS,67,6.1NRT,302.76,20.38,D
-18.17294,31.67105,326.58,1.54,1.22,2024-07-04,1200,Aqua,MODIS,79,6.1NRT,304.46,36.66,D
-18.16209,31.66944,327.76,1.54,1.22,2024-07-04,1200,Aqua,MODIS,80,6.1NRT,302.33,38.67,D
-18.12082,31.9191,327.35,1.47,1.2,2024-07-04,1200,Aqua,MODIS,80,6.1NRT,302.91,32.71,D
-18.12246,31.90567,323.96,1.48,1.2,2024-07-04,1200,Aqua,MODIS,76,6.1NRT,303.76,26.01,D
